Travel Branding;Name/Line;Location;Regio;Route;Vervoersregio;Concessie;Transport company;Formula Promise;Materieel;Note;Prijs km;Type;Category;Distance;Avg. Speed;;Average Stop distance;;Stations;Duration;Frequency (max);;Peak Pax day;Use of Buslane?;Dinstance on Buslane;Max speed;Promoted Speed;Operating hours;Connected to Hubs?;Kind of Hub;Source;;;;PvE
allGo Metrobus;M5;;Busvervoer Almere;Almere Station Centrum - Staion Parkwijk;;;Keolis Nederland;;;;;City HOV;2;9423;40,4;;856,6;;11;14;8;;;Y;;;;;;;;;;;C:\Users\eichlas\Downloads\ontwerp Programma van Eisen Concessie West-Brabant 2025-2035.pdf
allGo Metrobus;M6;;Busvervoer Almere;Almere Station Centrum - Noorderplassen;;;Keolis Nederland;;;;;City HOV;2;4753;31,7;;679;;7;9;8;;;Y;;;;;;;;;;;C:\Users\eichlas\Downloads\ontwerp Programma van Eisen Concessie West-Brabant 2025-2035.pdf
allGo Metrobus;M7;;Busvervoer Almere;Almere Station Centrum - Station Oostvaarders;;;Keolis Nederland;;;;;City HOV;2;11076;26,6;;651,5;;17;25;8;;;Y;;;;;;;;;;;C:\Users\eichlas\Downloads\ontwerp Programma van Eisen Concessie West-Brabant 2025-2035.pdf
allGo Metrobus;M2;;Busvervoer Almere;Almere Station Centrum - Stripheldenbuurt;;;Keolis Nederland;;;;;City HOV;2;12713;24,6;;635,6;;20;31;12;;;Y;;;;;;;;;;;C:\Users\eichlas\Downloads\ontwerp Programma van Eisen Concessie West-Brabant 2025-2035.pdf
allGo Metrobus;M3;;Busvervoer Almere;Almere Station Centrum - Componistenpad;;;Keolis Nederland;;;;;City HOV;2;5699;28,5;;569,9;;10;12;8;;;Y;;;;;;;;;;;C:\Users\eichlas\Downloads\ontwerp Programma van Eisen Concessie West-Brabant 2025-2035.pdf
allGo Metrobus;M4;;Busvervoer Almere;Almere Station Centrum - Station Poort;;;Keolis Nederland;;;;;City HOV;2;10481;25,2;;551,6;;19;25;12;;;Y;;;;;;;;;;;C:\Users\eichlas\Downloads\ontwerp Programma van Eisen Concessie West-Brabant 2025-2035.pdf
allGo Metrobus;M1;;Busvervoer Almere;Almere Station Centrum - Almere Haven;;;Keolis Nederland;;;;;City HOV;2;8141;32,6;;542,7;;15;15;12;;;Y;;;;;;;;;;;C:\Users\eichlas\Downloads\ontwerp Programma van Eisen Concessie West-Brabant 2025-2035.pdf
allGo Metrobus;M8;;Busvervoer Almere;Almere Station Centrum - Nobelhorst;;;Keolis Nederland;;;;;City HOV;2;;;;;;13;21;8;;;Y;;;;;;;;;;;C:\Users\eichlas\Downloads\ontwerp Programma van Eisen Concessie West-Brabant 2025-2035.pdf
Brabantliner;401;;West-Brabant;Breda - Utrecht;;;Arriva;;Volvo bussen;;;Inter-city Long HOV;1;73159;53,5;;8128,7;;9;82;1;;;Vluchtstrook;;100;53;;Y;;Brabantliner | Bravo;Trendrapport OV2020.pdf;;;C:\Users\eichlas\Downloads\ontwerp Programma van Eisen Concessie West-Brabant 2025-2035.pdf
Brabantliner;310;;West- and East-Brabant;Rotterdam - Bergen op Zoom;Provincie Noord-Brabant;;Arriva;Fast, frequent, direct, hubs, extra, comfort;;Same route as 3,10 311, 312, 316;;Inter-city Long HOV;1;58607;50,2;;4186,2;;14;70;3;;;Vluchtstrook;;100;50;;Y;Metrostatoion - A29 - Station;Bravodirect | Bravo;Trendrapport OV2020.pdf;;;C:\Users\eichlas\Downloads\ontwerp Programma van Eisen Concessie West-Brabant 2025-2035.pdf
Brabantliner;400;;West-Brabant;Oosterhout - Utrecht;;;Arriva;;Volvo bussen;;;Inter-city Long HOV;1;75229;65,4;;6839;;11;69;3;;;Vluchtstrook;;100;53;;Y;Central station;Brabantliner | Bravo;Trendrapport OV2020.pdf;;;C:\Users\eichlas\Downloads\ontwerp Programma van Eisen Concessie West-Brabant 2025-2035.pdf
Brabantliner;402;;West-Brabant;Breda - Gorinchem;;;Arriva;;Volvo bussen;;;Inter-city Long HOV;1;38844;47,6;;4855,5;;8;49;2;;;Vluchtstrook;;100;53;;Y;;Brabantliner | Bravo;Trendrapport OV2020.pdf;;;C:\Users\eichlas\Downloads\ontwerp Programma van Eisen Concessie West-Brabant 2025-2035.pdf
Bravodirect;305;;West- and East-Brabant;Oss via Uden – Eindhoven;Provincie Noord-Brabant;;Arriva;Fast, frequent, direct, hubs, extra, comfort;;;;To-city HOV;3;49266;30,5;;3079,1;;16;97;7;;;;;;41;;Y;Station - Busstation - Busstation - A50 - Station;Bravodirect | Bravo;Trendrapport OV2020.pdf;;;C:\Users\eichlas\Downloads\Ontwerp Programma van Eisen Zuidoost Brabant-1.pdf
